country,currency,capital_city,region,continent,gdp,agricultural_land,forest_area,land_area,inflation,co2_emissions,health_expenditure_capita,hospital_beds,suicide_rate,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,population_female,population_male,population,rural_population,urban_population,democracy_type,median_age,Density (P/Km²),Land Area (Km²),World Share
Somalia,Somali shilling,Mogadishu,Eastern Africa,Africa,8126110000.0,441250.0,59800.0,627340.0,,660.4,,0.87,7.9,43.561,11.596,6.312,2.00405,55.0,8775069,8822442,17597511,9269665,8327846,Unknown,11.3,25,627340,0.2
South Africa,South African rand,Pretoria,Southern Africa,Africa,405870000000.0,963410.0,170501.0,1213090.0,7.03973,393242.0,489.644,2.3,23.5,19.821,11.432,2.374,72.3105,62.0,30725879,29168006,59893885,18965399,40928486,Flawed democracy,23.3,49,1213090,0.76
South Sudan,South Sudanese Pound,Juba,Middle Africa,Africa,11997800000.0,282510.0,71570.0,631930.0,-6.68732,1742.7,33.2344,,3.9,29.107,11.05,4.469,6.5,55.0,5508626,5404538,10913164,8638206,2274958,Unknown,12.5,18,610952,0.14
Spain,Euro,Madrid,Southern Europe,Europe,1397510000000.0,261426.0,185722.0,499557.0,8.39058,202706.0,2900.65,2.97,7.7,7.1,9.5,1.19,93.9,83.0,24278328,23336706,47615034,8902107,38712927,Full democracy,40.3,94,498800,0.6
Sri Lanka,Sri Lankan rupee,Colombo,Southern Asia,Asia,74403600000.0,28120.0,21130.2,61860.0,49.7211,21846.3,151.056,4.15,14.0,14.019,7.36,1.99,66.6815,76.0,11498234,10682766,22181000,17960843,4220157,Flawed democracy,28.8,341,62710,0.27
Sudan,Sudanese pound,Khartoum,Northern Africa,Africa,51662200000.0,694058.0,183596.0,1868000.0,138.808,20796.1,23.3945,0.74,3.8,33.596,6.799,4.457,28.4,65.0,23454198,23420005,46874204,30020115,16854089,Authoritarian,14.5,25,1765048,0.56
Suriname,Suriname dollar,Paramaribo,South America,Americas,3620660000.0,840.0,151963.0,156000.0,52.446,2601.32,459.563,3.0,25.4,18.154,8.667,2.348,65.9398,70.0,310416,307625,618040,208236,409804,Flawed democracy,24.1,4,156000,0.01
Sweden,Swedish krona,Stockholm,Northern Europe,Europe,585939000000.0,30055.4,279800.0,407284.0,8.36929,33576.1,6914.91,2.14,14.7,11.0,8.8,1.67,88.3078,83.0,5201777,5285164,10486941,1206837,9280104,Full democracy,35.6,25,410340,0.13
Switzerland,Swiss franc,Bern,Western Europe,Europe,807706000000.0,15042.1,12691.1,39516.0,2.83503,34916.1,10309.8,4.63,14.5,10.3,8.2,1.52,95.57,84.0,4414771,4354970,8769741,2272064,6497677,Full democracy,38.1,219,39516,0.11
Tajikistan,Tajik somoni,Dushanbe,Central Asia,Asia,10492100000.0,49160.0,4238.0,138790.0,6.00458,9328.8,69.6949,4.67,4.3,26.749,4.548,3.186,21.96,72.0,4944055,5008732,9952787,7169192,2783595,Authoritarian,17.7,68,139960,0.12
Tanzania,Tanzanian shilling,Dodoma,Eastern Africa,Africa,75709300000.0,395212.0,457450.0,885800.0,4.35027,14435.5,39.3088,0.7,4.3,36.21,6.222,4.726,31.6331,66.0,33126817,32370931,65497748,41471864,24025884,Hybrid regime,13.0,67,885800,0.77
Thailand,Thai baht,Bangkok,South-Eastern Asia,Asia,495341000000.0,230100.0,198730.0,510890.0,6.07741,265479.0,305.088,2.1,8.8,8.999,7.922,1.331,85.27,79.0,36890933,34806096,71697030,33777188,37919842,Hybrid regime,35.8,137,510890,0.9
Timor-Leste,U.S. dollar,Dili,South-Eastern Asia,Asia,3163320000.0,3414.0,9211.0,14870.0,0.958813,446.1,120.87,5.9,3.7,24.944,7.233,3.149,39.4513,68.0,657338,683957,1341296,911089,430207,Flawed democracy,16.7,89,14870,0.02
Togo,West African CFA franc,Lomé,Western Africa,Africa,8126440000.0,38200.0,12092.7,54390.0,7.96757,2415.1,53.4998,0.7,8.8,31.856,8.168,4.257,34.9841,62.0,4400474,4448225,8848699,4962262,3886437,Authoritarian,14.8,152,54390,0.11
Tonga,Tongan pa'anga,Nuku'alofa,Polynesia,Oceania,469228000.0,350.0,89.5,720.0,10.9714,118.1,248.04,2.6,3.8,23.045,6.97,3.237,71.5866,71.0,54010,52848,106858,82147,24711,Unknown,17.9,147,720,0.0
Trinidad and Tobago,Trinidad and Tobago dollar,Port of Spain,Caribbean,Americas,27899100000.0,540.0,2281.9,5130.0,2.05923,15420.0,1030.71,3.02,8.7,11.687,9.131,1.626,79.0,73.0,775955,755090,1531044,714385,816659,Flawed democracy,31.9,273,5130,0.02
Tunisia,Tunisian dinar,Tunis,Northern Africa,Africa,46664900000.0,97310.0,7027.3,155360.0,8.30646,29293.0,221.685,2.18,3.3,16.093,7.884,2.086,78.9897,74.0,6257745,6098372,12356117,3680393,8675724,Flawed democracy,28.0,76,155360,0.15
Turkey,New Turkish lira,Ankara,Western Asia,Asia,905988000000.0,377620.0,222204.0,769630.0,72.3088,407406.0,395.24,2.85,2.4,14.678,6.398,1.889,81.41,76.0,42578812,42762429,85341241,19609710,65731531,Hybrid regime,27.3,110,769630,1.08
Turkmenistan,New Turkmen manat,Ashgabat,Central Asia,Asia,45610600000.0,338380.0,41270.0,469930.0,,63655.0,483.74,4.03,5.7,21.592,6.585,2.667,21.251,69.0,3244911,3185860,6430770,2990694,3440076,Authoritarian,22.0,13,469930,0.08
Uganda,Ugandan shilling,Kampala,Eastern Africa,Africa,45559200000.0,144150.0,23379.0,200520.0,7.19579,5674.6,33.9014,0.5,4.6,36.795,5.877,4.585,10.3424,63.0,23848253,23401332,47249585,34889566,12360019,Hybrid regime,12.2,229,199810,0.59
Ukraine,Ukrainian hryvnia,Kiev,Eastern Europe,Europe,160503000000.0,413110.0,96900.0,579400.0,20.1836,165664.0,269.729,7.46,21.6,7.3,18.5,1.16,79.2183,70.0,20550751,17449249,38000000,11430780,26569220,Hybrid regime,38.9,75,579320,0.56
United Arab Emirates,U.A.E. dirham,Abu Dhabi,Western Asia,Asia,507535000000.0,3898.0,3173.0,71020.0,4.82789,188089.0,2191.81,1.38,6.4,10.307,1.874,1.46,100.0,79.0,2893385,6547744,9441129,1176081,8265048,Authoritarian,29.3,118,83600,0.13
United Kingdom,Pound sterling,London,Northern Europe,Europe,3070670000000.0,172593.0,31900.0,241930.0,7.92205,308650.0,5634.18,2.46,7.9,10.1,9.7,1.56,96.6802,81.0,33876563,33094847,66971411,10448880,56522531,Full democracy,35.9,281,241930,0.87
United States,U.S. dollar,"Washington, D.C.",Northern America,Americas,25462700000000.0,4058100.0,3097950.0,9147420.0,8.0028,4320530.0,11702.4,2.87,16.1,11.0,10.4,1.664,91.7532,76.0,168266219,165021339,333287557,56378923,276908634,Flawed democracy,33.9,36,9147420,4.25
Uruguay,Uruguayan peso,Montevideo,South America,Americas,71177100000.0,140634.0,20310.0,175020.0,9.10438,6514.3,1429.51,2.43,21.2,10.473,12.162,1.493,90.0738,75.0,1764421,1658372,3422794,147591,3275203,Full democracy,31.5,20,175020,0.04
Uzbekistan,Uzbek som,Tashkent,Central Asia,Asia,80391900000.0,256825.0,36896.6,440650.0,11.4466,115578.0,120.504,3.98,8.0,25.9,5.0,3.173,76.5904,71.0,17809564,17838536,35648100,17657930,17990170,Authoritarian,22.7,79,425400,0.43
Vanuatu,Vanuatu vatu,Port Vila,Melanesia,Oceania,983583000.0,1870.0,4423.0,12190.0,2.34328,121.3,114.23,1.7,18.0,29.438,5.395,3.735,66.3357,70.0,162433,164308,326740,242389,84351,Unknown,15.6,25,12190,0.0
Venezuela,Venezuelan bolivar fuerte,Caracas,South America,Americas,482359000000.0,215000.0,462309.0,882050.0,254.949,72509.0,142.459,0.87,2.1,15.877,8.124,2.211,61.6,71.0,14304904,13996791,28301696,3289223,25012473,Authoritarian,24.2,32,882050,0.36
Vietnam,Vietnamese dong,Hanoi,South-Eastern Asia,Asia,408802000000.0,123600.0,146431.0,313429.0,3.15651,355323.0,166.232,2.6,7.5,15.008,7.317,1.944,74.21,74.0,49685569,48501287,98186856,60123739,38063117,Authoritarian,28.4,314,310070,1.25
Yemen,Yemeni rial,Sana'a,Western Asia,Asia,21606200000.0,234520.0,5490.0,527970.0,8.10473,9960.1,63.3002,0.71,5.8,30.544,6.845,3.795,26.7184,64.0,16673411,17023203,33696614,20491585,13205029,Authoritarian,14.8,56,527970,0.38
Zambia,New Zambian kwacha,Lusaka,Eastern Africa,Africa,29784500000.0,238360.0,448140.0,743390.0,10.9932,7607.1,53.7537,2.0,7.3,34.511,6.973,4.308,21.2315,61.0,10140033,9877642,20017675,10857387,9160288,Hybrid regime,13.2,25,743390,0.24
Zimbabwe,U.S. dollar,Harare,Eastern Africa,Africa,20678100000.0,162000.0,174446.0,386850.0,104.705,8312.5,50.6765,1.7,14.1,30.537,9.057,3.491,34.814,59.0,8614935,7705601,16320537,11033499,5287038,Authoritarian,14.2,38,386850,0.19
