country,currency,capital_city,region,continent,gdp,agricultural_land,forest_area,land_area,inflation,co2_emissions,health_expenditure_capita,hospital_beds,suicide_rate,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,population_female,population_male,population,rural_population,urban_population,democracy_type,median_age,Density (P/Km²),Land Area (Km²),World Share
Denmark,Danish krone,Copenhagen,Northern Europe,Europe,395404000000.0,26199.9,6284.4,40000.0,7.69657,27356.5,7375.15,2.6,10.7,10.8,9.8,1.72,98.8659,81.0,2966194,2936844,5903037,686700,5216337,Full democracy,37.2,137,42430,0.07
Djibouti,Djibouti franc,Djibouti,Eastern Africa,Africa,3515110000.0,17020.0,58.0,23180.0,5.17981,427.7,62.8094,1.4,9.6,22.205,9.147,2.804,68.8632,62.0,564584,556264,1120849,242328,878521,Authoritarian,20.0,43,23180,0.01
Dominican Republic,Dominican peso,Santo Domingo,Caribbean,Americas,113642000000.0,24290.0,21441.0,48310.0,8.81109,22881.3,354.095,1.56,4.9,18.432,6.678,2.273,85.243,73.0,5594560,5634261,11228821,1813679,9415142,Flawed democracy,23.4,225,48320,0.14
Ecuador,U.S. dollar,Quito,South America,Americas,115049000000.0,54200.0,124978.0,248360.0,3.46617,34431.0,478.53,1.39,7.6,16.817,6.719,2.026,76.2029,74.0,9016398,8984602,18001000,6377754,11623246,Flawed democracy,23.9,71,248360,0.23
Egypt,Egyptian pound,Cairo,Northern Africa,Africa,476748000000.0,39710.0,449.8,995450.0,13.8957,210752.0,150.907,1.43,3.0,22.558,6.327,2.917,72.06,70.0,54865512,56124592,110990103,63300985,47689118,Authoritarian,20.1,103,995450,1.31
El Salvador,U.S. dollar,San Salvador,Central America,Americas,32488700000.0,11957.0,5838.8,20720.0,7.19862,6376.3,385.743,1.2,6.1,16.025,8.661,1.803,62.8803,71.0,3319856,3016535,6336392,1598862,4737530,Hybrid regime,22.8,313,20720,0.08
Equatorial Guinea,Central African CFA franc,Malabo,Middle Africa,Africa,11813900000.0,1885.2,24484.2,28050.0,4.78672,4350.4,236.62,2.1,7.9,30.498,9.042,4.266,53.9224,61.0,790982,883926,1674908,435309,1239599,Authoritarian,16.8,50,28050,0.02
Eritrea,Eritrean nakfa,Asmara,Eastern Africa,Africa,2065000000.0,75920.0,10552.6,121041.0,,706.4,23.9813,0.7,10.9,28.624,6.729,3.867,21.7304,67.0,1866154,1817878,3684032,2113713,1570319,Authoritarian,14.5,35,101000,0.05
Estonia,Euro,Tallinn,Northern Europe,Europe,38100800000.0,9850.0,24384.0,42750.0,19.3983,7097.52,2035.62,4.57,14.9,10.0,14.0,1.61,91.04,77.0,706316,638452,1344768,408688,936080,Flawed democracy,37.7,31,42390,0.02
Eswatini,Swazi lilangeni,Lobamba,Southern Africa,Africa,4854170000.0,12220.0,4975.6,17200.0,2.59802,1147.7,219.104,2.1,29.4,24.134,11.356,2.839,58.9129,57.0,605504,596167,1201670,906348,295322,Authoritarian,17.7,67,17200,0.01
Ethiopia,Ethiopian birr,Addis Ababa,Eastern Africa,Africa,126783000000.0,384761.0,170685.0,1128570.0,26.8395,18098.0,28.6967,0.33,5.4,32.383,6.776,4.159,16.6981,65.0,61399749,61980175,123379924,95420799,27959125,Authoritarian,14.7,115,1000000,1.47
Fiji,Fijian dollar,Suva,Melanesia,Oceania,4943250000.0,3116.0,11400.2,18270.0,4.52019,1028.2,186.364,2.0,9.0,19.345,8.859,2.475,87.66,67.0,463626,466140,929766,388373,541393,Hybrid regime,23.0,49,18270,0.01
Finland,Euro,Helsinki,Northern Europe,Europe,280826000000.0,22700.0,224090.0,303940.0,7.12351,36329.9,4726.14,3.61,15.3,9.0,10.4,1.46,92.8081,82.0,2811103,2745778,5556880,795690,4761190,Full democracy,38.6,18,303890,0.07
France,Euro,Paris,Western Europe,Europe,2782910000000.0,285538.0,172530.0,547557.0,5.22237,267155.0,4768.73,5.91,13.8,10.9,9.7,1.83,86.0955,82.0,35105568,32830093,67935660,12561983,55373677,Flawed democracy,37.9,119,547557,0.84
Gabon,Central African CFA franc,Libreville,Middle Africa,Africa,21071700000.0,22126.4,235306.0,257670.0,4.23125,5349.2,228.976,6.3,8.4,27.142,7.258,3.491,71.7494,66.0,1173488,1215505,2388992,221340,2167652,Authoritarian,17.7,9,257670,0.03
Georgia,Georgian lari,Tbilisi,Western Asia,Asia,24605400000.0,23779.0,28224.0,69490.0,11.8982,10255.0,320.005,2.89,9.2,13.412,15.166,2.081,76.4427,72.0,1967488,1745015,3712502,1473975,2238527,Hybrid regime,32.5,57,69490,0.05
Germany,Euro,Berlin,Western Europe,Europe,4072190000000.0,165950.0,114190.0,349390.0,6.87257,603350.0,6503.36,8.0,12.3,9.6,12.3,1.58,91.4306,81.0,42593197,41486614,84079811,18793519,65286292,Full democracy,40.9,240,348560,1.07
Ghana,New Ghanaian cedi,Accra,Western Africa,Africa,72838800000.0,126037.0,79857.1,227533.0,31.2559,19401.2,84.9784,0.9,6.6,27.548,7.627,3.563,68.2,64.0,16780756,16695114,33475870,13853989,19621881,Flawed democracy,16.6,137,227540,0.4
Greece,Euro,Athens,Southern Europe,Europe,219066000000.0,58671.9,39018.0,128900.0,9.64526,51002.2,1675.12,4.2,5.1,8.0,13.5,1.39,78.4943,80.0,5395279,5171252,10566531,2075584,8490947,Flawed democracy,41.1,81,128900,0.13
Grenada,East Caribbean dollar,St. George's,Caribbean,Americas,1256410000.0,80.0,177.0,340.0,1.21951,324.5,491.082,3.57,0.7,15.961,8.151,2.004,77.7672,75.0,62717,62721,125438,79192,46246,Unknown,27.1,331,340,0.0
Guatemala,Guatemalan quetzal,Guatemala City,Central America,Americas,95003300000.0,38560.0,35278.0,107160.0,6.88513,16865.2,289.127,0.44,5.9,21.12,6.504,2.395,50.8416,69.0,8767508,8590378,17357886,8216182,9141704,Hybrid regime,18.5,167,107160,0.23
Guinea,Guinean franc,Conakry,Western Africa,Africa,21227700000.0,145000.0,61890.0,245720.0,10.493,4537.9,46.8419,0.3,7.0,34.425,9.99,4.399,34.6801,59.0,7005320,6854020,13859341,8638804,5220537,Authoritarian,13.9,53,245720,0.17
Guinea-Bissau,West African CFA franc,Bissau,Western Africa,Africa,1633560000.0,8151.1,19800.1,28120.0,9.39384,329.0,61.4319,1.0,7.0,31.087,8.716,4.005,35.155,60.0,1065706,1039860,2105566,1157198,948368,Authoritarian,14.5,70,28120,0.03
Guyana,Guyana dollar,Georgetown,South America,Americas,15357500000.0,12412.5,184153.0,196850.0,5.03286,2768.5,378.062,1.71,40.3,20.298,9.987,2.397,84.7936,66.0,412743,395982,808726,590192,218534,Flawed democracy,21.8,4,196850,0.01
Haiti,Haitian gourde,Port-au-Prince,Caribbean,Americas,20253600000.0,18400.0,3473.0,27560.0,33.9839,3209.04,44.1798,0.71,9.6,23.498,8.676,2.814,38.945,63.0,5846285,5738710,11584996,4770701,6814295,Hybrid regime,19.3,414,27560,0.15
Honduras,Honduran lempira,Tegucigalpa,Central America,Americas,31717700000.0,35110.0,63592.6,111890.0,9.08964,8835.4,253.918,0.64,2.1,21.071,5.608,2.363,48.0835,70.0,5165506,5267354,10432860,4214875,6217985,Hybrid regime,19.8,89,111890,0.13
Hungary,Hungarian forint,Budapest,Eastern Europe,Europe,178789000000.0,49030.0,20530.1,91260.0,14.6081,44769.3,1163.25,7.01,16.6,9.7,16.1,1.59,88.6408,74.0,5034412,4649092,9683505,2657928,7025577,Flawed democracy,38.1,107,90530,0.12
Iceland,Iceland krona,Reykjavík,Northern Europe,Europe,27841600000.0,18720.0,513.5,100830.0,8.30875,1446.6,6636.0,2.83,11.9,13.1,6.3,1.82,99.687,83.0,186151,195748,381900,22945,358955,Full democracy,32.1,3,100250,0.0
India,Indian rupee,New Delhi,Southern Asia,Asia,3385090000000.0,1790450.0,721600.0,2973190.0,6.69903,2200840.0,56.6287,0.53,12.7,16.419,9.448,2.031,46.31,67.0,685992675,731180498,1417173173,908804812,508368361,Flawed democracy,23.9,464,2973190,17.7
Indonesia,Indonesian rupiah,Jakarta,South-Eastern Asia,Asia,1319100000000.0,623000.0,921332.0,1877520.0,4.20946,563197.0,132.963,1.04,2.4,16.425,10.065,2.175,62.1,68.0,136798063,138703277,275501339,115892393,159608946,Flawed democracy,25.6,151,1811570,3.51
Iran,Iranian rial,Tehran,Southern Asia,Asia,388544000000.0,470130.0,107519.0,1622500.0,43.389,616561.0,573.404,1.56,5.2,13.699,6.437,1.692,78.6,74.0,43835978,44714592,88550570,20537534,68013036,Authoritarian,28.4,52,1628550,1.08
Iraq,Iraqi dinar,Baghdad,Western Asia,Asia,264182000000.0,92500.0,8250.0,434128.0,4.99477,163512.0,202.31,1.32,3.6,27.367,4.753,3.496,48.9172,70.0,22205751,22290370,44496122,12746359,31749763,Hybrid regime,16.0,93,434320,0.52
Ireland,Euro,Dublin,Northern Europe,Europe,529245000000.0,45120.0,7820.2,68890.0,7.80738,33742.2,6700.18,2.97,9.6,11.6,6.6,1.72,95.1696,82.0,2565839,2521149,5086988,1822006,3264982,Full democracy,33.9,72,68890,0.06
Israel,Israeli new shekel,Jerusalem,Western Asia,Asia,522033000000.0,6464.0,1400.0,21640.0,4.3936,58471.8,3867.4,2.98,5.3,19.7,5.4,3.0,90.3,82.0,4786984,4763616,9550600,691177,8859423,Flawed democracy,25.1,400,21640,0.11
Italy,Euro,Rome,Southern Europe,Europe,2010430000000.0,129990.0,95661.3,295717.0,8.20129,281287.0,3351.48,3.14,6.7,6.8,12.0,1.25,74.8623,83.0,30156052,28700795,58856847,16681796,42175051,Flawed democracy,43.2,206,294140,0.78
Jamaica,Jamaican dollar,Kingston,Caribbean,Americas,17097800000.0,4440.0,5968.9,10830.0,10.3496,5835.6,325.721,1.72,2.4,11.712,8.797,1.352,82.36,70.0,1424998,1402379,2827377,1215546,1611831,Flawed democracy,27.3,273,10830,0.04
Japan,Japanese yen,Tokyo,Eastern Asia,Asia,4231140000000.0,43720.0,249350.0,364500.0,2.4977,1014060.0,4388.1,12.98,15.3,6.6,11.7,1.3,82.9141,84.0,64314912,60810077,125124989,10066305,115058684,Flawed democracy,44.7,347,364555,1.62
Jordan,Jordanian dinar,Amman,Western Asia,Asia,47451500000.0,10290.0,975.0,88794.0,4.22916,20974.1,298.645,1.47,1.6,21.95,3.868,2.83,82.7556,74.0,5438953,5846915,11285869,922394,10363475,Authoritarian,19.7,115,88780,0.13
Kazakhstan,Kazakh tenge,Astana,Central Asia,Asia,220623000000.0,2140030.0,34546.8,2699700.0,8.04232,211897.0,341.542,6.06,17.6,23.5,9.61,3.32,90.92,70.0,10179087,9442885,19621972,8243190,11378782,Authoritarian,25.5,7,2699700,0.24
Kenya,Kenyan shilling,Nairobi,Eastern Africa,Africa,113420000000.0,276300.0,36110.9,569140.0,7.65687,19446.8,83.3962,1.4,6.1,27.685,8.056,3.335,28.7575,61.0,27249938,26777549,54027487,38358435,15669052,Hybrid regime,15.4,94,569140,0.69
Kiribati,Australian dollar,South Tarawa,Micronesia,Oceania,223353000.0,340.0,11.8,810.0,-1.81308,56.9,166.618,1.86,28.3,27.207,6.236,3.304,53.627,67.0,67289,63943,131232,56354,74878,Unknown,18.0,147,810,0.0
Kuwait,Kuwaiti dinar,Kuwait City,Western Asia,Asia,184558000000.0,1500.0,62.5,17820.0,3.42363,92308.9,1532.56,2.04,2.9,10.41,2.906,2.11,99.7,79.0,1672926,2595948,4268873,0,4268873,Authoritarian,35.1,240,17820,0.05
Latvia,Euro,Riga,Northern Europe,Europe,41153900000.0,19690.0,34107.9,62230.0,17.3103,6928.3,1313.35,5.49,20.1,9.2,18.4,1.57,91.1796,73.0,1009778,873600,1883379,592511,1290868,Flawed democracy,39.8,30,62200,0.02
Lebanon,Lebanese pound,Beirut,Western Asia,Asia,23131900000.0,6696.7,1433.3,10230.0,154.756,21474.9,994.49,2.73,2.8,14.948,8.271,2.091,86.589,75.0,2827383,2662356,5489739,589488,4900251,Hybrid regime,24.6,667,10230,0.09
Lesotho,Lesotho loti,Maseru,Southern Africa,Africa,2553460000.0,26000.0,345.2,30360.0,8.2718,2311.9,107.099,1.3,72.4,26.107,14.186,3.018,47.983,53.0,1168329,1137496,2305825,1615392,690433,Flawed democracy,18.2,71,30360,0.03
Liberia,U.S. dollar,Monrovia,Western Africa,Africa,4001050000.0,19540.4,76174.4,96320.0,23.5635,1179.5,56.7061,0.8,4.5,31.287,8.838,4.089,33.6332,61.0,2661979,2640702,5302681,2488813,2813868,Hybrid regime,14.2,53,96320,0.06
Libya,Libyan dinar,Tripoli,Northern Africa,Africa,45752300000.0,153500.0,2170.0,1759540.0,2.60582,44467.0,312.849,3.2,4.5,17.828,6.018,2.462,17.76,72.0,3365279,3447062,6812341,1273772,5538569,Authoritarian,22.6,4,1759540,0.09
Lithuania,Euro,Vilnius,Northern Europe,Europe,70334300000.0,29428.0,22010.0,62620.0,19.705,11693.8,1839.9,6.43,26.1,8.3,17.0,1.34,86.9306,74.0,1502383,1330617,2833000,893387,1939613,Flawed democracy,39.8,43,62674,0.03
Luxembourg,Euro,Luxembourg,Western Europe,Europe,82274800000.0,1321.36,887.0,2574.46,6.33601,7853.1,7314.37,4.26,11.3,10.5,7.0,1.38,98.66,83.0,323237,327537,650774,52836,597938,Full democracy,35.0,242,2590,0.01
Madagascar,Malagasy ariary,Antananarivo,Eastern Africa,Africa,14955000000.0,408950.0,124298.0,581800.0,8.16059,2745.45,17.9457,0.2,5.5,30.949,7.104,3.851,19.7302,64.0,14775496,14836218,29611714,17801970,11809744,Hybrid regime,15.1,48,581795,0.36
Malawi,Malawi kwacha,Lilongwe,Eastern Africa,Africa,13164700000.0,56500.0,22417.0,94280.0,20.954,1640.0,32.9825,1.3,5.4,32.859,6.983,3.917,24.4056,63.0,10480456,9924861,20405317,16736441,3668876,Hybrid regime,13.1,203,94280,0.25
Malaysia,Malaysian ringgit,Kuala Lumpur,South-Eastern Asia,Asia,406306000000.0,85710.0,191140.0,328550.0,3.3787,245139.0,418.663,1.88,5.7,15.24,6.034,1.803,96.7514,75.0,16596389,17341833,33938221,7393781,26544440,Flawed democracy,26.3,99,328550,0.42
Maldives,Maldivian rufiyaa,Malé,Southern Asia,Asia,6189870000.0,64.0,8.2,300.0,2.33314,1454.0,825.569,4.3,2.7,14.088,3.02,1.692,85.7606,80.0,222471,301315,523787,306227,217560,Unknown,27.2,1802,300,0.01
Mali,West African CFA franc,Bamako,Western Africa,Africa,18827200000.0,412010.0,132960.0,1220190.0,3.9256,4150.7,35.4516,0.1,4.1,41.643,9.274,5.956,34.49,59.0,11186771,11406819,22593590,12327741,10265849,Hybrid regime,11.3,17,1220190,0.26
Malta,Euro,Valletta,Southern Europe,Europe,17765300000.0,103.8,4.6,320.0,6.15376,1610.7,3135.41,4.49,6.1,8.5,8.0,1.14,87.4698,83.0,250560,272857,523417,26825,496592,Full democracy,35.3,1380,320,0.01
Mauritania,Mauritanian ouguiya,Nouakchott,Western Africa,Africa,10375500000.0,396610.0,3128.0,1030700.0,9.52527,3847.1,59.0492,0.4,3.1,33.194,7.44,4.398,58.7582,64.0,2414911,2321228,4736139,2040187,2695952,Authoritarian,13.8,5,1030700,0.06
Mauritius,Mauritian rupee,Port Louis,Eastern Africa,Africa,12898300000.0,860.0,387.7,2030.0,10.7738,3720.2,560.406,3.4,9.5,10.3,10.5,1.41,67.58,74.0,639989,622533,1262523,747287,515236,Full democracy,33.1,626,2030,0.02
Mexico,Mexican peso,Mexico City,Central America,Americas,1414190000000.0,971380.0,656921.0,1943950.0,7.89628,383131.0,538.575,0.98,5.3,14.857,9.406,1.822,75.6265,70.0,65309171,62194954,127504125,23843271,103660854,Flawed democracy,25.4,66,1943950,1.65
Micronesia,U.S. dollar,Palikir,Micronesia,Oceania,427094000.0,220.0,644.2,700.0,5.40874,107.5,424.839,3.2,28.2,20.777,6.211,2.711,40.4096,71.0,56777,57387,114164,87659,26505,Unknown,19.7,784,700,0.01
Moldova,Moldovan leu,Chișinău,Eastern Europe,Europe,14420900000.0,22646.0,3865.0,32884.6,28.7373,8611.2,306.649,5.66,14.7,12.432,16.36,1.806,61.2878,69.0,1358183,1234294,2592477,1473227,1119250,Hybrid regime,31.2,123,32850,0.05
Mongolia,Mongolian tugrik,Ulan Bator,Eastern Asia,Asia,16810900000.0,1127000.0,141728.0,1557510.0,15.148,21184.7,199.816,8.0,17.9,21.413,6.131,2.837,84.33,71.0,1712979,1685387,3398366,1055872,2342494,Flawed democracy,22.9,2,1553560,0.04
Montenegro,Euro,Podgorica,Southern Europe,Europe,6095980000.0,2579.5,8270.0,13450.0,13.0403,2527.2,866.168,3.86,21.0,11.4,14.8,1.75,82.2197,74.0,316129,300030,616159,196160,419999,Hybrid regime,34.4,47,13450,0.01
Morocco,Moroccan dirham,Rabat,Northern Africa,Africa,134182000000.0,303820.0,57424.9,446300.0,6.65704,66719.5,187.404,1.0,7.2,17.545,6.17,2.328,88.1303,74.0,18605603,18852368,37457971,13261620,24196351,Hybrid regime,25.0,83,446300,0.47
Mozambique,New Mozambican metical,Maputo,Eastern Africa,Africa,17851500000.0,414138.0,367438.0,786380.0,10.2794,6945.5,34.2839,0.7,13.6,36.598,8.793,4.644,17.3728,59.0,16793302,16176217,32969518,20379448,12590070,Authoritarian,13.0,40,786380,0.4
Myanmar,Myanmar kyat,Naypyidaw,South-Eastern Asia,Asia,59364400000.0,130080.0,285439.0,652670.0,8.82507,33874.6,72.1121,1.04,2.9,17.103,9.769,2.151,44.0217,66.0,27216740,26962566,54179306,36965999,17213307,Authoritarian,25.3,83,653290,0.7
Namibia,Namibian dollar,Windhoek,Southern Africa,Africa,12607400000.0,388100.0,66389.0,823290.0,6.08128,3952.8,379.54,2.7,9.7,27.439,10.709,3.303,52.9735,59.0,1328449,1238563,2567012,1181955,1385057,Flawed democracy,17.4,3,823290,0.03
Nepal,Nepalese rupee,Kathmandu,Southern Asia,Asia,40828200000.0,41210.0,59620.3,143350.0,4.08791,14949.2,58.3104,0.3,9.0,20.402,7.776,2.029,51.6314,68.0,15901334,14646246,30547580,23994819,6552761,Hybrid regime,20.0,203,143350,0.37
Netherlands,Euro,Amsterdam,Western Europe,Europe,991115000000.0,18144.5,3695.0,33670.0,10.0012,130315.0,6531.01,3.17,11.8,10.2,9.8,1.62,92.053,81.0,8904226,8798863,17703090,1259398,16443692,Full democracy,37.9,508,33720,0.22
New Zealand,New Zealand dollar,Wellington,Australia and New Zealand,Oceania,247234000000.0,101540.0,98925.9,263310.0,7.17222,31359.7,4201.63,2.57,11.0,11.48,6.83,1.64,95.9102,82.0,2584111,2539990,5124100,672077,4452023,Full democracy,32.8,18,263310,0.06
Nicaragua,Nicaraguan gold cordoba,Managua,Central America,Americas,15671600000.0,50650.0,34075.3,120340.0,10.4674,4582.2,161.2,0.93,4.4,20.507,4.859,2.321,57.1469,74.0,3524605,3423787,6948392,2810208,4138184,Authoritarian,20.9,55,120340,0.08
Niger,West African CFA franc,Niamey,Western Africa,Africa,13969600000.0,465970.0,10797.0,1266700.0,4.22622,2197.95,35.0071,0.39,5.3,45.293,8.141,6.82,22.3861,62.0,12914594,13293383,26207977,21780401,4427576,Authoritarian,10.5,19,1266700,0.31
Nigeria,Nigerian naira,Abuja,Western Africa,Africa,477386000000.0,694500.0,216270.0,910770.0,18.8472,111978.0,69.7618,0.5,3.5,37.117,13.083,5.237,55.3637,53.0,108093075,110448136,218541212,101575770,116965442,Hybrid regime,13.2,226,910770,2.64
North Macedonia,Macedonian denar,Skopje,Southern Europe,Europe,13563100000.0,12620.0,10014.9,25220.0,14.2047,6796.7,452.966,4.28,9.4,10.2,15.5,1.6,83.0182,75.0,1032057,1025621,2057679,841220,1216459,Hybrid regime,34.5,83,25220,0.03
Norway,Norwegian krone,Oslo,Northern Europe,Europe,579267000000.0,9859.62,121800.0,364285.0,5.76412,36177.4,9020.63,3.53,11.8,10.4,7.8,1.55,99.0,83.0,2703524,2753603,5457127,891476,4565651,Full democracy,35.6,15,365268,0.07
